"Gene1","Gene2"
"IRF1","IRF1"
"IRF1","IRF3"
"IRF3","IRF3"
"IRF1","IRF2"
"IRF2","IRF2"
"IRF1","IRF8"
"IRF8","IRF8"
"IRF3","IRF9"
"IRF9","IRF9"
"IRF3","IRF7"
"IRF9","IRF7"
"IRF3","IRF5"
"IRF8","IRF5"
"IRF5","IRF5"
"IRF1","STAT2"
"IRF9","STAT2"
"IRF7","STAT2"
"PRDM10","PRDM10"
"IRF1","TRIM21"
"IRF2","TRIM21"
"IRF8","TRIM21"
"IRF3","LYAR"
"IRF1","CASP1"
"IRF2","CASP1"
"IRF1","IL12B"
"IRF3","IL12B"
"IRF8","IL12B"
"IRF7","IL12B"
"IRF5","IL12B"
"IRF1","SAMHD1"
"IRF2","SAMHD1"
"IRF8","SAMHD1"
"STAT2","SAMHD1"
"IRF1","NOS2"
"IRF2","NOS2"
"IRF8","NOS2"
"IRF5","NOS2"
"STAT2","NOS2"
"IRF1","CCL5"
"IRF3","CCL5"
"IRF2","CCL5"
"IRF8","CCL5"
"IRF7","CCL5"
"IRF5","CCL5"
"IRX2","CCL5"
"IRF1","EIF2AK2"
"STAT2","EIF2AK2"
"IRF1","IFNL3"
"IRF3","IFNL3"
"IRF2","IFNL3"
"IRF8","IFNL3"
"IRF9","IFNL3"
"IRF7","IFNL3"
"IRF1","IFNB1"
"IRF3","IFNB1"
"IRF2","IFNB1"
"IRF8","IFNB1"
"IRF9","IFNB1"
"IRF7","IFNB1"
"IRF5","IFNB1"
"STAT2","IFNB1"
"PRDM10","IFNB1"
"YY2","IFNB1"
"PIN1","IFNB1"
"IRF1","CCL4"
"IRF5","CCL4"
"IRF1","IL18"
"IRF8","IL18"
"IRF1","CAMK4"
"IRF2","CAMK4"
"IRF1","TRIM63"
"IRF3","TRIM63"
"IRF2","TRIM63"
"IRF8","TRIM63"
"IRF5","TRIM63"
"IRF1","MC1R"
"IRF3","PRKCA"
"IRF2","PRKCA"
"IRF1","CYBB"
"IRF2","CYBB"
"IRF8","CYBB"
"IRF1","TAP1"
"IRF2","TAP1"
"IRF1","TAP2"
"IRF7","TAP2"
"IRF1","IL12A"
"IRF3","IL12A"
"IRF8","IL12A"
"IRF9","IL12A"
"IRF7","IL12A"
"IRF5","IL12A"
"STAT2","IL12A"
"IRF1","IFNGR1"
"IRF2","IFNGR1"
"IRF1","CEACAM1"
"IRF2","CEACAM1"
"STAT2","CBL"
"IRF3","USP18"
"IRF2","USP18"
"IRF1","CTSS"
"IRF2","CTSS"
"IRF3","IFNA5"
"IRF8","IFNA5"
"IRF7","IFNA5"
"IRF5","IFNA5"
"IRF1","IFNA4"
"IRF3","IFNA4"
"IRF2","IFNA4"
"IRF8","IFNA4"
"IRF7","IFNA4"
"IRF5","IFNA4"
"IRF1","TNFSF10"
"IRF3","TNFSF10"
"IRF2","TNFSF10"
"IRF9","TNFSF10"
"IRF7","TNFSF10"
"IRF5","TNFSF10"
"IRF3","ISG15"
"IRF7","ISG15"
"SIRT6","ISG15"
"IRF3","IFIT2"
"STAT2","IFIT2"
"IRF1","IFNA16"
"IRF3","IFNA16"
"IRF7","IFNA16"
"IRF1","OGN"
"IRF2","OGN"
"IRF1","CD80"
"IRF7","CD80"
"IRF1","IL27"
"IRF3","IL27"
"IRF8","IL27"
"IRF9","IL27"
"IRF7","IL27"
"STAT2","IL27"
"IRF1","CCL19"
"IRF3","CCL19"
"IRF9","CCL19"
"IRF7","CCL19"
"IRF5","CCL19"
"STAT2","CCL19"
"IRF1","CXCL11"
"IRF2","CXCL11"
"IRF1","RIGI"
"IRF2","RIGI"
"TRIM25","RIGI"
"IRF1","POLR2K"
"IRF1","IFNL1"
"IRF3","IFNL1"
"IRF8","IFNL1"
"IRF7","IFNL1"
"IRF3","IFNA17"
"IRF7","IFNA17"
"IRF5","IFNA17"
"IRF1","SLC26A6"
"IRF1","CXCL10"
"IRF3","CXCL10"
"IRF2","CXCL10"
"IRF9","CXCL10"
"IRF7","CXCL10"
"IRF5","CXCL10"
"IRX2","CXCL10"
"IRF1","IFIT3"
"IRF9","IFIT3"
"STAT2","IFIT3"
"IRF1","TLR3"
"IRF3","TLR3"
"IRF8","TLR3"
"IRF8","FANCF"
"IRF1","SPG7"
"IRF7","CYSLTR2"
"IRF1","POLH"
"IRF9","PDCD1"
"IRF1","IFI35"
"IRF2","IFI35"
"IRF3","SEC14L1"
"STAT2","SIRPA"
"STAT2","CFB"
"IRF1","ERAP2"
"IRF2","ERAP2"
"IRF1","IFNA2"
"IRF3","IFNA2"
"IRF7","IFNA2"
"IRF5","IFNA2"
"STAT2","SCARB2"
"STAT2","DGKE"
"STAT2","IL20RA"
"STAT2","PIN1P1"
"IRF1","GBP5"
"IRF5","PTPN22"
"IRF1","IFNA14"
"IRF3","IFNA14"
"IRF7","IFNA14"
"IRF5","IFNA14"
"IRF1","IFNA6"
"IRF3","IFNA7"
"IRF7","IFNA7"
"IRF7","IFNA10"
"IRF5","IFNA10"
"IRF7","IFNA8"
"IRF5","IFNA8"
"IRF5","IFNA21"
"IRF1","hsa-miR-342"
"IRF9","hsa-miR-342"
