"Gene1","Gene2"
"POU4F1","POU4F1"
"POU4F1","EWSR1"
"EWSR1","EWSR1"
"POU4F1","POU4F2"
"ZBTB7B","ZBTB7B"
"REST","SLC8A1"
"EWSR1","ITSN1"
"POU4F1","SNAP25"
"REST","SNAP25"
"EWSR1","SNAP25"
"POU4F2","SNAP25"
"RCOR1","CSF2RB"
"REST","GRIN1"
"REST","SCG2"
"EWSR1","MPPED2"
"ZBTB7B","MPPED2"
"REST","MAPK8IP1"
"POU4F1","HPSE"
"REST","CD59"
"REST","CARTPT"
"REST","PRLHR"
"ZBTB7B","UGDH"
"REST","GLRA1"
"REST","UCHL1"
"REST","GJD2"
"REST","STMN2"
"REST","GRIN2B"
"REST","MAP2K5"
"REST","SYN1"
"EWSR1","STYXL1"
"REST","BRINP1"
"EWSR1","DKK2"
"REST","CHGB"
"EWSR1","SLC29A4"
"EWSR1","PHLDA1"
"REST","CALB1"
"REST","CACNA1H"
"POU4F1","INA"
"REST","INA"
"POU4F2","INA"
"EWSR1","GSTM4"
"REST","KCNQ2"
"REST","KCNQ3"
"REST","DYRK1A"
"REST","HCN1"
"REST","NEFH"
"EWSR1","AKT1S1"
"EWSR1","EYA3"
"EWSR1","CFL1"
"REST","SCG3"
"REST","HMGB3"
"REST","CHRM4"
"ZBTB7B","CDCP1"
"REST","SCN2A"
"RCOR1","SCN2A"
"REST","KCNN4"
"REST","CHRNB2"
"REST","GABRD"
"POU4F1","RIT2"
"POU4F2","RIT2"
"REST","SYT4"
