"Gene1","Gene2"
"TP53","TP53"
"TP53","RUVBL1"
"TP53","NACC2"
"TP53","TRIM8"
"TP53","PGAM2"
"TP53","GZMA"
"TP53","ING1"
"TP53","UBR5"
"TP53","MDFIC"
"TP53","SEMA3B"
"TP53","CACYBP"
"TP53","CASP6"
"TP53","PPM1A"
"TP53","HIPK1"
"TP53","PRKAB1"
"TP53","DUSP5"
"TP53","PANK1"
"TP53","PDRG1"
"TP53","TNFRSF10C"
"TP53","IL4R"
"TP53","CASP10"
"TP53","TRPM1"
"TP53","ALDH4A1"
"TP53","LUM"
"TP53","LATS2"
"TP53","CALM2"
"TP53","GPD1"
"TP53","AIFM2"
"TP53","IKBIP"
"TP53","TRIAP1"
"TP53","PRIMA1"
"TP53","NUAK1"
"TP53","CKAP2"
"TP53","CLIP1"
"TP53","TNFRSF10D"
"TP53","PYHIN1"
"TP53","UBD"
"TP53","MYO6"
"TP53","TUBB2A"
"TP53","CLTC"
"TP53","GSDME"
"TP53","ZNF346"
"TP53","RAB13"
"TP53","PSME3"
"TP53","CYFIP2"
"TP53","TSPYL2"
"TP53","CDC42BPA"
"TP53","APLP1"
"TP53","BTG3"
"TP53","STRAP"
"TP53","HIPK4"
"TP53","VRK1"
"TP53","C2"
"TP53","DYRK2"
"TP53","UNC5D"
"TP53","CARD11"
"TP53","DAD1"
"TP53","DCUN1D1"
"TP53","RAB6C"
"TP53","PDF"
"TP53","DUSP11"
"TP53","FRMD5"
"TP53","LASP1"
"TP53","MDH1"
"TP53","EDA2R"
"TP53","GPR87"
"TP53","ING2"
"TP53","CHML"
"TP53","TAAR1"
"TP53","RBM5"
"TP53","UNC5A"
"TP53","YPEL3"
"TP53","TRIM3"
"TP53","EHMT1"
"TP53","RB1CC1"
"TP53","HNRNPK"
"TP53","C10orf90"
"TP53","DCLK1"
"TP53","LIMK2"
"TP53","PIERCE1"
"TP53","PPP1R2C"
"TP53","USP29"
"TP53","ANXA4"
"TP53","ZMAT3"
"TP53","RGS13"
"TP53","PAF1"
"TP53","RNF20"
"TP53","GLIPR1"
"TP53","SLC2A12"
"TP53","ULBP2"
"TP53","CGB7"
"TP53","DCAF1"
"TP53","OMA1"
"TP53","NLRP10"
"TP53","TIMELESS"
"TP53","PDCD6"
"TP53","TRDMT1"
"TP53","RPS25"
"TP53","CLCA2"
"TP53","POLR3B"
"TP53","PRAP1"
"TP53","MINK1"
"TP53","RAP2B"
"TP53","RPL37"
"TP53","OTUD5"
"TP53","RBM24"
"TP53","LRRC4"
"TP53","MAPK13"
"TP53","BRAP"
"TP53","TUG1"
"TP53","HUNK"
"TP53","ZNHIT2"
"TP53","FANCC"
"TP53","REV3L"
"TP53","ZFP37"
"TP53","ZNF215"
"TP53","PTP4A2"
"TP53","CCNK"
"TP53","UBA3"
"TP53","TCEAL1"
"TP53","RPH3AL"
"TP53","HNRNPR"
"TP53","ASCC3"
"TP53","TOR1AIP1"
"TP53","MRPL27"
"TP53","ARL17A"
"TP53","GPR89B"
"TP53","CTDSPL2"
"TP53","CDCA8"
"TP53","TMEM33"
"TP53","REXO4"
"TP53","CRTC3"
"TP53","ATOSB"
"TP53","ITFG1"
"TP53","ZNF611"
"TP53","KBTBD7"
"TP53","TAF1L"
"TP53","SCFD2"
"TP53","VPS13B"
"TP53","ZSCAN25"
"TP53","ALKBH2"
"TP53","ANTXR1"
"TP53","GML"
"TP53","PRG3"
"TP53","REEP5"
"TP53","BLTP3A"
"TP53","TP53I11"
"TP53","PHLDA3"
"TP53","PIDD1"
"TP53","TP53TG5"
"TP53","SERTAD1"
"TP53","PYCR1"
"TP53","FNTA"
"TP53","DRAM2"
"TP53","NOXA1"
"TP53","ANKRD11"
"TP53","ZDHHC5"
"TP53","SCO2"
"TP53","FNBP4"
"TP53","UNC5B"
"TP53","STEAP3"
"TP53","ADCYAP1R1"
"TP53","SMPD4"
"TP53","RNF144B"
"TP53","ADAMTSL1"
"TP53","PCBP4"
"TP53","ABI3BP"
"TP53","NEDD1"
"TP53","P2RX6"
"TP53","CHMP4C"
"TP53","TUBG1"
"TP53","RBMX"
"TP53","TP53TG3E"
"TP53","ENAH"
"TP53","ADGRB2"
"TP53","EDN2"
"TP53","PPM1J"
"TP53","hsa-miR-192"
