"Gene1","Gene2"
"HHEX","HHEX"
"TCF4","SOX9"
"SOX9","SOX9"
"SOX9","PAX3"
"PAX3","PAX3"
"SOX9","PITX2"
"PAX3","PITX2"
"PITX2","PITX2"
"TCF4","HOXB1"
"HOXB1","HOXB1"
"PAX3","PKNOX1"
"HOXB1","PKNOX1"
"TCF4","MITF"
"SOX9","MITF"
"PAX3","MITF"
"MITF","MITF"
"LHX3","LHX3"
"TFE3","TFE3"
"SOX9","SOX10"
"PAX3","SOX10"
"MITF","SOX10"
"SOX10","SOX10"
"PAX3","TBX2"
"PITX2","TBX2"
"MITF","TBX2"
"TBX2","TBX2"
"HHEX","GSC"
"PAX3","GSC"
"PITX2","GSC"
"GSC","GSC"
"ETV5","NFIA"
"SOX9","NFIA"
"NFIA","NFIA"
"TCF4","BCL11A"
"SOX9","POU3F2"
"PAX3","POU3F2"
"MITF","POU3F2"
"POU3F2","POU3F2"
"SOX9","TBX1"
"PITX2","TBX1"
"TBX1","TBX1"
"PAX3","FOXD3"
"MITF","FOXD3"
"GSC","FOXC2"
"SOX10","OLIG2"
"OLIG2","OLIG2"
"SOX9","OSR1"
"SOX9","NKX3-2"
"PAX3","NKX3-2"
"NKX3-2","NKX3-2"
"FOXC2","PAX1"
"NKX3-2","PAX1"
"PAX1","PAX1"
"SOX9","TCF21"
"PITX2","TCF21"
"ETV5","NFIX"
"SOX9","NFIX"
"PITX2","NFIX"
"NFIA","NFIX"
"NFIX","NFIX"
"PAX3","HOXA1"
"HOXB1","HOXA1"
"MITF","HOXA1"
"HOXA1","HOXA1"
"GSC","EVX1"
"SOX9","TBX20"
"PITX2","TBX20"
"TBX2","TBX20"
"TBX20","TBX20"
"FOXC2","MEOX1"
"NKX3-2","MEOX1"
"SOX9","FOXL2"
"LHX3","FOXL2"
"GSC","FOXH1"
"FOXH1","FOXH1"
"OVOL1","OVOL1"
"HOXB1","HOXB3"
"PAX3","MESP2"
"ETV5","DUX4"
"ETV5","NFIB"
"NFIX","NFIB"
"PITX2","LHX6"
"LHX6","LHX6"
"GSC","LHX8"
"LHX6","LHX8"
"OVOL1","OVOL2"
"PAX3","TCF15"
"NKX3-2","TCF15"
"HHEX","TLE5"
"HOXB3","ARID4B"
"HOXB5","ARID4B"
"PITX2","JAZF1"
"HHEX","TLE4"
"PITX2","RHOA"
"OLIG2","RHOA"
"SOX9","MIA"
"SOX10","MIA"
"SOX9","EPYC"
"PITX2","SIGLEC1"
"PITX2","TKT"
"MITF","TKT"
"TCF15","TKT"
"MITF","TPSB2"
"TCF4","TYRP1"
"PAX3","TYRP1"
"MITF","TYRP1"
"TBX2","TYRP1"
"TFEB","TYRP1"
"HHEX","TG"
"TCF4","TG"
"MITF","TG"
"HOXB3","TG"
"SOX10","CHRNA10"
"TCF4","TYR"
"SOX9","TYR"
"PAX3","TYR"
"PITX2","TYR"
"MITF","TYR"
"TFE3","TYR"
"SOX10","TYR"
"POU3F2","TYR"
"TFEB","TYR"
"POU6F2","TYR"
"PAX3","AKT1"
"MITF","AKT1"
"FOXC2","AKT1"
"LHX8","AKT1"
"FAM170A","AKT1"
"ARID4B","AKT1"
"PAX3","EYA1"
"TBX1","EYA1"
"PAX1","EYA1"
"MEOX1","EYA2"
"LHX3","CGA"
"FOXL2","CGA"
"OTX1","CGA"
"PITX2","AMELX"
"TBX1","AMELX"
"PITX2","INHBA"
"MITF","INHBA"
"LHX3","INHBA"
"GSC","INHBA"
"EVX1","INHBA"
"FOXL2","INHBA"
"FOXH1","INHBA"
"SOX9","COL9A2"
"PITX2","PLOD1"
"TCF4","DCT"
"SOX9","DCT"
"PAX3","DCT"
"MITF","DCT"
"TFE3","DCT"
"SOX10","DCT"
"PBX4","LPAR1"
"SOX10","CHRNA2"
"MITF","TPSG1"
"TFE3","LAMC1"
"PAX3","FGFR4"
"PAX3","H1-6"
"OVOL2","H1-6"
"SOX9","COL9A1"
"TCF4","VCAN"
"PAX3","VCAN"
"BCL11A","MAP1B"
"SOX10","PRB4"
"NSD1","PRB4"
"PAX3","KCNN3"
"PAX3","FABP7"
"PKNOX1","FABP7"
"POU3F2","FABP7"
"NFIB","FABP7"
"TBX2","FRZB"
"BCL11A","FRZB"
"PITX2","RSU1"
"MITF","MLANA"
"MITF","CADM1"
"ZNF135","CADM1"
"TCF4","BEST1"
"SOX9","BEST1"
"MITF","BEST1"
"TFE3","BEST1"
"SOX10","BEST1"
"TFEB","BEST1"
"SOX8","BEST1"
"OTX1","BEST1"
"MITF","BRAF"
"POU3F2","BRAF"
"LHX8","BRAF"
"MESP2","PCDH8"
"PITX2","ADK"
"SOX9","VNN1"
"SOX8","VNN1"
"BCL11A","H3C1"
"PAX3","EPHA4"
"NFIA","EPHA4"
"NFIX","EPHA4"
"HOXA13","EPHA4"
"MESP2","EPHA4"
"NFIB","EPHA4"
"HHEX","CD81"
"PITX2","CD81"
"MITF","ITGA4"
"PITX2","AHSG"
"PAX3","CNTF"
"SOX10","CNTF"
"HHEX","ESM1"
"PAX3","DPYD"
"SOX10","GJC2"
"FOXH1","LEMD3"
"OVOL1","LEMD3"
"TCF4","FST"
"FOXL2","FST"
"MITF","CLCN7"
"NFIA","GAS6"
"NFIX","GAS6"
"NFIB","GAS6"
"NFIA","EPHA8"
"NFIX","EPHA8"
"NFIB","EPHA8"
"MITF","DIAPH1"
"PAX3","SOSTDC1"
"HOXA13","SOSTDC1"
"PITX2","WNT5A"
"NFIA","WNT5A"
"NKX3-2","WNT5A"
"NFIX","WNT5A"
"NFIB","WNT5A"
"GLIS1","WNT5A"
"HOXA13","EPHA6"
"SOX10","MAG"
"MESP2","RIPPLY2"
"PITX2","HINT1"
"MITF","HINT1"
"PAX3","CDC42SE2"
"MITF","GPNMB"
"TFE3","GPNMB"
"PKNOX1","PGK2"
"PBX4","PGK2"
"MITF","ATP6V0D2"
"PITX2","PLOD2"
"GSC","IGKC"
"PITX2","LPAR4"
"SOX9","CBLN4"
"MITF","ATP6V1B2"
"SOX9","RXFP2"
"TCF21","RXFP2"
"TCF4","LGR5"
"OLIG2","LGR5"
"MITF","GAGE7"
"SOX9","CYP26B1"
"FOXL2","CYP26B1"
"NFIX","ENO3"
"SOX9","HAPLN1"
"TCF4","BMP7"
"HOXA13","BMP7"
"PITX2","HTR2A"
"NFIX","SPARCL1"
"TFE3","FLCN"
"PKNOX1","ALDH1A2"
"HOXA1","ALDH1A2"
"HOXA13","ALDH1A2"
"FOXD3","RND3"
"TLE5","RND3"
"PITX2","SLC13A3"
"TBX2","ADAM10"
"PKNOX1","INPPL1"
