"Gene1","Gene2"
"CTCF","CTCF"
"CTCF","ZNF20"
"CTCF","MB"
"CTCF","IRAK2"
"ZNF20","SLC39A10"
"CTCF","ARSI"
"CTCF","DMPK"
"SPEN","DMPK"
"CTCF","GRIN3A"
"CTCF","WRAP53"
"CTCF","COL27A1"
"CTCF","TMBIM6"
"CTCF","SYT8"
"CTCF","PLCB1"
"CTCF","PLCB4"
"CTCF","MGAT5B"
"ZNF20","MMP23B"
"CTCF","RARRES1"
"CTCF","CELSR3"
"CTCF","TSFM"
"CTCF","PLXNB3"
"CTCF","PTPA"
"CTCF","AHCYL1"
"CTCF","ASAP2"
"CTCF","ETNK2"
"CTCF","HCFC1R1"
"CTCF","PBXIP1"
"CTCF","PTPRG"
"CTCF","C1R"
"CTCF","GAS7"
"CTCF","SLC13A2"
"CTCF","ACVR1C"
"CTCF","ANKRD46"
"CTCF","B4GALNT1"
"CTCF","BICD2"
"CTCF","CCL16"
"CTCF","CEP135"
"CTCF","CHRNA6"
"CTCF","CIDEB"
"CTCF","CNIH1"
"CTCF","DIP2B"
"CTCF","DMKN"
"CTCF","ELP5"
"CTCF","GALNT6"
"CTCF","HEBP2"
"CTCF","HMCN1"
"CTCF","KSR1"
"CTCF","LPIN3"
"CTCF","LRRC59"
"CTCF","MRPL17"
"CTCF","NCBP3"
"CTCF","PMPCB"
"CTCF","POMT2"
"CTCF","PPRC1"
"CTCF","PRSS35"
"CTCF","RPL39L"
"CTCF","RPP30"
"CTCF","SMIM7"
"CTCF","TRAPPC6A"
"CTCF","TSPAN16"
"CTCF","TYSND1"
"CTCF","ZNF613"
"CTCF","ZNF804B"
