"Gene1","Gene2"
"RXRG","RARA"
"RARA","RARA"
"RARA","THRA"
"THRA","THRA"
"RXRG","PIAS3"
"THRA","RXRB"
"SIM1","ARNT2"
"NPAS1","ARNT2"
"ARNT2","ARNT2"
"THRA","ISX"
"THRA","GTF2B"
"RXRG","SFTPB"
"RARA","SFTPB"
"MYBBP1A","SFTPB"
"RARA","ALDH2"
"RARA","OXT"
"THRA","OXT"
"SIM1","OXT"
"RARA","TRH"
"THRA","TRH"
"RARA","TSHB"
"THRA","TSHB"
"RXRB","TSHB"
"THRA","POR"
"RARA","ACACB"
"THRA","PKD1"
"RXRB","PKD1"
"RXRG","RBP2"
"RARA","RBP2"
"RXRB","RBP2"
"RARA","F2R"
"RARA","RBP1"
"RXRB","RBP1"
"THRA","ZNHIT3"
"RARA","SLCO1B3"
"THRA","PPP2CA"
"RARA","RPSA"
"THRA","ANGPTL3"
"RARA","ALDH1A1"
"RXRB","ALDH1A1"
"RARA","TMSB10"
"RARA","GPRC5A"
"RXRB","GPRC5A"
"RARA","MACROD1"
"RARA","THBD"
"RARA","G0S2"
"RARA","SCD"
"THRA","SCD"
"RARA","LAMB1"
"THRA","BCO1"
"ISX","BCO1"
"RARA","FOLR2"
"THRA","KCNE1"
"RARA","HSD17B2"
"RARA","APLN"
"RARA","GNRH2"
"RARA","MED25"
"THRA","MED25"
"RARA","TGM2"
"RARA","KRT13"
"THRA","KCND3"
"THRA","KCNIP2"
"THRA","MGP"
"RARA","SLC34A3"
"RARA","TRIB1"
"RARA","RPTOR"
"RARA","PTOV1"
"THRA","ILF3"
"RARA","WDR11"
"RARA","HK3"
"RARA","TNFRSF12A"
"RARA","CSN3"
"THRA","MT-ND3"
"RARA","PCP2"
"THRA","PCP2"
"RARA","TNFAIP2"
