"Gene1","Gene2"
"TFAP2A","TFAP2A"
"TFAP2A","TFAP2B"
"TFAP2A","TFAP2C"
"TFAP2C","TFAP2C"
"TFAP2A","TFAP2D"
"TFAP2A","POU4F3"
"TFAP2D","POU4F3"
"TFAP2A","AEBP1"
"TFAP2A","ZFHX2"
"TFAP2A","CITED2"
"TFAP2C","CITED2"
"TFAP2A","GGT1"
"TFAP2A","FABP2"
"TFAP2B","FABP2"
"TFAP2A","CRYAB"
"TFAP2B","CRYAB"
"TFAP2A","CKB"
"TFAP2A","FABP4"
"AEBP1","FABP4"
"AEBP2","FABP4"
"TFAP2A","CD36"
"TFAP2B","CD36"
"AEBP1","CD36"
"TFAP2A","ADD1"
"TFAP2A","ADIPOQ"
"TFAP2B","ADIPOQ"
"TFAP2A","ACADVL"
"TFAP2A","ERBB2"
"TFAP2B","ERBB2"
"TFAP2C","ERBB2"
"TFAP2A","ERBB3"
"TFAP2C","ERBB3"
"TFAP2D","ERBB3"
"TFAP2A","RBL2"
"TFAP2B","RBL2"
"TFAP2A","KISS1"
"TFAP2B","KISS1"
"TFAP2A","CSTA"
"TFAP2C","CSTA"
"TFAP2D","CSTA"
"TFAP2A","CXCL1"
"TFAP2C","CXCL1"
"TFAP2A","GJB2"
"TFAP2A","ADA"
"TFAP2C","ADA"
"TFAP2A","APAF1"
"TFAP2A","FBLN1"
"TFAP2A","RAD21"
"TFAP2C","RAD21"
"TFAP2A","CALB2"
"TFAP2D","CALB2"
"TFAP2A","TBXA2R"
"TFAP2A","PTGDS"
"TFAP2B","PTGDS"
"TFAP2A","SULT1E1"
"TFAP2C","SULT1E1"
"TFAP2A","IRS1"
"TFAP2B","IRS1"
"TFAP2C","HSD3B1"
"TFAP2B","YEATS4"
"TFAP2A","SLC1A2"
"TFAP2A","POMGNT2"
"TFAP2A","SLC5A6"
"TFAP2D","ST8SIA2"
"TFAP2C","GPER1"
"TFAP2A","KCTD1"
"TFAP2A","COMMD7"
"TFAP2A","CTNNAL1"
"TFAP2A","GPX1"
"TFAP2C","GPX1"
"TFAP2A","ECM1"
"TFAP2C","ECM1"
"TFAP2A","SNAP91"
"TFAP2A","NME3"
"TFAP2A","DCBLD2"
"TFAP2A","FREM2"
"TFAP2C","FREM2"
"TFAP2C","RERG"
