"Gene1","Gene2"
"ATF2","ATF2"
"ATF2","DDIT3"
"DDIT3","DDIT3"
"ATF2","ATF4"
"DDIT3","ATF4"
"ATF4","ATF4"
"ATF2","ATF3"
"DDIT3","ATF3"
"ATF4","ATF3"
"ATF3","ATF3"
"DDIT3","LITAF"
"ATF4","LITAF"
"LITAF","LITAF"
"DDIT3","ATF5"
"ATF4","ATF5"
"ATF5","ATF5"
"CREB3L4","CREB3L4"
"DDIT3","MAPK14"
"LITAF","MAPK14"
"ATF2","HSPA5"
"DDIT3","HSPA5"
"ATF4","HSPA5"
"ATF3","HSPA5"
"LITAF","HSPA5"
"CREB3L4","HSPA5"
"ATF2","TH"
"ATF4","TH"
"ATF5","TH"
"ATF2","PLAT"
"ATF4","PLAT"
"HOXB2","PLAT"
"ATF2","CCL2"
"DDIT3","CCL2"
"ATF4","CCL2"
"ATF3","CCL2"
"LITAF","CCL2"
"ATF2","EBP"
"ATF3","EBP"
"ATF5","EBP"
"ATF2","CASP3"
"DDIT3","CASP3"
"ATF2","PSMC6"
"DDIT3","MCL1"
"ATF4","MCL1"
"ATF5","MCL1"
"WWTR1","LTBR"
"DDIT3","ASNS"
"ATF4","ASNS"
"ATF3","ASNS"
"ATF5","ASNS"
"WWTR1","ASNS"
"ATF3","REG1B"
"HOXB2","REG1B"
"DDIT3","PPP1R15A"
"ATF4","PPP1R15A"
"ATF3","PPP1R15A"
"ATF4","POLR2C"
"LITAF","H2AC19"
"ATF3","DHDDS"
"DDIT3","EIF4E"
"ATF3","PLN"
"ATF4","PMAIP1"
"ATF3","PMAIP1"
"DDIT3","PCYT2"
"ATF3","PCYT2"
"ATF2","PABPC4"
"ATF2","MAPKAP1"
"ATF2","TLR1"
"ATF2","IL23A"
"DDIT3","IL23A"
"ATF4","IL23A"
"ATF4","S100P"
"DDIT3","SLC38A2"
"ATF4","SLC38A2"
"ATF5","ATF7IP"
"DDIT3","MAP1LC3B"
"ATF4","MAP1LC3B"
"ATF3","MAP1LC3B"
"DDIT3","OFD1"
"ATF3","IRAK3"
"ATF3","SORT1"
"ATF2","SIRT4"
"ATF4","SIRT4"
"DDIT3","ATG5"
"ATF4","ATG5"
"ATF2","YTHDC2"
"ATF4","SIGMAR1"
"ATF2","DUSP10"
"ATF3","AK4"
"CREB3L4","DNAJC12"
"ATF4","LAMP3"
"ATF4","SARS2"
"ATF4","LARS2"
"ATF4","LARS1"
"ATF4","AARS2"
"ATF4","NARS2"
"ATF4","TARS2"
"ATF4","CARS2"
"ATF4","IARS1"
"ATF4","YARS2"
"DDIT3","TAS2R13"
