"Gene1","Gene2"
"MYOD1","MYOD1"
"MYOD1","MYF5"
"MYF5","MYF5"
"MYOD1","MYOG"
"MYRF","MYOG"
"MYF5","MYOG"
"MYOG","MYOG"
"MYOD1","SIX4"
"MYOD1","PAX7"
"MYF5","PAX7"
"MYOG","PAX7"
"PAX7","PAX7"
"MYOD1","MYF6"
"MYRF","MYF6"
"MYF5","MYF6"
"MYOG","MYF6"
"SIX4","MYF6"
"MYF6","MYF6"
"MYOD1","ZNF32"
"MYOG","ZNF32"
"MYOG","JARID2"
"JARID2","JARID2"
"MYOD1","TSHZ3"
"MYOG","TSHZ3"
"MYOD1","EID2B"
"MYOD1","TCF23"
"MYOG","SMARCD3"
"MYOD1","CCND3"
"MYF5","CCND3"
"MYOG","CCND3"
"PAX7","CCND3"
"MYOD1","NOTCH3"
"PAX7","NOTCH3"
"SIX4","ATP1A1"
"MYOG","AGER"
"PAX7","AGER"
"MYOD1","ATP9A"
"MYF5","ATP9A"
"MYOD1","ATP9B"
"MYF5","ATP9B"
"MYOD1","SGCA"
"MYOG","SGCA"
"SMARCD3","SGCA"
"ZNF32","CLN3"
"TSHZ3","CASP4"
"MYOG","MYL1"
"JARID2","MYL1"
"MYOD1","CHRNG"
"MYOG","CHRNG"
"MYOD1","FSD1"
"PAX7","FSD1"
"MYOD1","MUSK"
"MYOG","MUSK"
"MYOD1","NEU1"
"MYF5","NEU1"
"MYOD1","PYCARD"
"MYOD1","MAPK12"
"MYOG","MAPK12"
"MYOD1","HRH3"
"MYOD1","DES"
"MYF5","DES"
"MYOG","DES"
"MYF6","DES"
"MYOD1","CFAP410"
"MYOD1","MYL4"
"MYF5","MYL4"
"MYOG","MYL4"
"MYOG","CELF1"
"MYOD1","VGLL2"
"MYF5","VGLL2"
"MYOG","VGLL2"
"MYOD1","STAB1"
"MYRF","STAB1"
"MYOD1","CKMT2"
"MYOD1","FLT3LG"
"MYOD1","MLC1"
"MYOG","MLC1"
"MYOD1","TRIM72"
"MYOG","TRIM72"
"MYOD1","CDH15"
"MYF5","CDH15"
"MYOG","CDH15"
"MYOD1","RANBP17"
"MYOD1","TCAP"
"MYOG","TCAP"
"MYOD1","ITGA7"
"MYOG","ITGA7"
"MYRF","CDR2"
"MYOD1","MYH7B"
"MYRF","MYH7B"
"MYOD1","CAND2"
"MYOD1","MUSTN1"
"MYOG","MUSTN1"
"MYOG","MEGF10"
"MYOG","ATP2A1"
"MYOD1","RANBP2"
"MYOG","MYEF2"
"MYOD1","PJA1"
"MYF5","VGLL3"
"MYOD1","SGCG"
"MYOD1","INPP5K"
