"Gene1","Gene2"
"PPARG","GK"
"PPARA","GK"
"ESRRA","GK"
"RXRA","GK"
"PPARG","DBI"
"PPARA","DBI"
"RXRA","DBI"
"PPARA","SLC27A1"
"PPARD","SLC27A1"
"PPARA","ACADM"
"NR2F1","ACADM"
"ESRRA","ACADM"
"ESRRG","ACADM"
"PPARG","GSTA2"
"NCOR2","GSTA2"
"PPARG","LRP1"
"RXRA","LRP1"
"PPARG","SLC9A1"
"PPARA","SLC9A1"
"NR2F1","SLC9A1"
"PPARG","MTTP"
"PPARA","MTTP"
"NR2F1","MTTP"
"RXRA","MTTP"
"PPARGC1B","MTTP"
"PPARA","PTPRF"
"PPARG","PDK4"
"PPARA","PDK4"
"ESRRA","PDK4"
"PPARD","PDK4"
"ESRRG","PDK4"
"PPARG","KL"
"PPARG","CFD"
"PPARG","UGT1A9"
"PPARA","UGT1A9"
"PPARG","APOM"
"PPARD","APOM"
"PPARG","PLIN2"
"PPARA","PLIN2"
"PPARD","PLIN2"
"PPARG","GOT1"
"PPARA","GOT1"
"RXRA","GOT1"
"PPARG","PEX11A"
"PPARA","PEX11A"
"NR2F1","UBE2I"
"PPARG","INSIG1"
"PPARD","INSIG1"
"PPARG","ANGPTL4"
"PPARA","ANGPTL4"
"PPARD","ANGPTL4"
"PPARG","APOA4"
"PPARA","APOA4"
"NR2F1","APOA4"
"ESRRA","APOA4"
"RXRA","APOA4"
"PPARG","FABP3"
"PPARA","FABP3"
"PPARA","GRHPR"
"PPARG","ELOVL3"
"PPARA","ELOVL3"
"NCOR2","RHBDF2"
"PPARG","PC"
"RXRA","PC"
"FOXD4","PC"
"PPARG","S1PR1"
"PPARA","S1PR1"
"PPARA","CYP27B1"
"RXRA","CYP27B1"
"PPARA","NPC1L1"
"RXRA","NPC1L1"
"PPARD","NPC1L1"
"PPARG","PNPLA2"
"PPARD","PNPLA2"
"PPARA","ACOX1"
"RXRA","ACOX1"
"PPARD","ACOX1"
"NR0B1","CNOT2"
"NCOR2","CNOT2"
"PPARG","NAMPT"
"PPARA","NAMPT"
"PPARD","NAMPT"
"ONECUT2","SYTL4"
"PPARGC1B","SYTL4"
"PPARG","YWHAE"
"PPARD","YWHAE"
"PPARG","BRS3"
"PPARA","BRS3"
"PPARG","GYS2"
"PPARA","GYS2"
"PPARD","GYS2"
"PPARG","CIDEA"
"PPARA","CIDEA"
"ESRRA","CIDEA"
"PPARG","ABCA12"
"PPARA","ABCA12"
"PPARG","PDK2"
"PPARA","PDK2"
"ESRRG","PLK2"
"PPARG","RBP4"
"PPARA","RBP4"
"PPARA","ETFDH"
"PPARA","PCTP"
"PPARA","GPT2"
"NR2F1","CERK"
"PPARD","CERK"
"PPARG","APOC4"
"PPARG","RBP7"
"PPARA","PDZK1"
"PPARG","MFN2"
"ESRRA","MFN2"
"PPARD","MFN2"
"PPARA","CYP4F12"
"RXRA","CYP4F12"
"PPARG","IDE"
"ESRRA","DAP3"
"PPARG","HCAR1"
"PPARG","HCAR2"
"PPARG","HCAR3"
"PPARA","SLC25A20"
"PPARD","SLC25A20"
"PPARG","LRP2"
"PPARA","LRP2"
"PPARG","TRARG1"
"RXRA","ACSL3"
"PPARD","ACSL3"
"PPARG","TGFBRAP1"
"PPARA","TGFBRAP1"
"PPARG","ERP44"
"PPARG","SIRT3"
"ESRRA","SIRT3"
"PPARA","RETSAT"
"PPARG","PAPPA"
"PPARG","TNIP1"
"PPARA","TNIP1"
"PPARG","GPAM"
"PPARD","GPAM"
"PPARG","MOGAT1"
"PPARG","PLIN5"
"PPARA","PLIN5"
"PPARD","PLIN5"
"PPARG","RGS5"
"PPARA","RGS5"
"PPARD","RGS5"
"PPARG","TLCD3B"
"PPARG","FAM3A"
"PPARA","FAM3A"
"PPARD","CRYBA1"
"PPARA","ABCB5"
"PPARG","ADSS2"
"PPARA","ADSS2"
"RXRA","IL2RG"
"NR2F1","SERPINC1"
"RXRA","SERPINC1"
"PPARG","KLK15"
"PPARA","KLK15"
"NR2F1","KLK15"
"RXRA","KLK15"
"PPARA","PPOX"
"PPARA","ABCB4"
"NRIP1","SLC7A1"
"PPARA","ACADL"
"PPARD","ACADL"
"PPARG","APOBR"
"PPARA","APOBR"
"PPARA","TUBA1B"
"PPARG","ERO1A"
"PPARG","SOCS7"
"PPARA","ALDH3A2"
"NR2F1","CPT2"
"PPARA","ITGB5"
"PPARG","VDAC1"
"NR2F1","PCDH19"
"ESRRA","RNF208"
"PPARG","GSTZ1"
"PPARD","PDPK1"
"PPARA","ACOT2"
"PPARA","EHHADH"
"PPARA","CYP4A22"
"PPARA","SLC16A7"
"PPARA","ELOVL1"
"PPARG","AQP7"
"PPARA","AQP7"
"PPARA","PCSK5"
"PPARA","CYP4X1"
"PPARA","ALAD"
"PPARA","UROS"
"PPARD","ACSL6"
"PPARD","RAB9A"
"PPARG","GPAT4"
"PPARD","GPAT4"
"PPARG","PTPN11"
"PPARG","DGAT1"
"PPARG","GPIHBP1"
"PPARG","ARRDC3"
"PPARG","SLC27A4"
"PPARG","DDAH2"
"PPARG","UPK1A"
"PPARG","ALOXE3"
"PPARG","UPK3A"
"PPARG","PDE3B"
"PPARG","RBP5"
"PPARG","APMAP"
"RXRA","SEMA6B"
"PPARG","hsa-miR-145-5p"
"PPARA","hsa-miR-145-5p"
"ESRRG","hsa-miR-127"
"ESRRG","hsa-miR-206"
"ESRRG","hsa-miR-433"
