"Gene1","Gene2"
"PPARG","PPARA"
"PPARA","PPARA"
"NR2F1","NR0B1"
"NR0B1","NR0B1"
"PPARG","ESRRA"
"PPARA","ESRRA"
"NR2F1","ESRRA"
"NR0B1","ESRRA"
"ESRRA","ESRRA"
"PPARG","NCOR2"
"NR2F1","NCOR2"
"NR0B1","NCOR2"
"NCOR2","NCOR2"
"RXRA","RXRA"
"PPARG","PPARD"
"PPARA","PPARD"
"NCOR2","PPARD"
"NR0B1","ESRRG"
"ESRRA","ESRRG"
"ESRRG","ESRRG"
"KLF16","KLF16"
"PPARA","TRIB3"
"RXRA","TRIB3"
"PPARG","CIC"
"PPARA","CIC"
"NCOR2","CIC"
"PPARA","NRIP1"
"NR0B1","NRIP1"
"ESRRA","NRIP1"
"NCOR2","NRIP1"
"PPARD","NRIP1"
"ESRRG","NRIP1"
"NCOR2","TBL1X"
"PPARA","KDM3B"
"PPARG","CREBL2"
"PPARG","PPARGC1B"
"ESRRG","PPARGC1B"
"TRIB3","PPARGC1B"
"PPARA","HMGCS2"
"NR2F1","HMGCS2"
"NCOR2","HMGCS2"
"RXRA","HMGCS2"
"PPARG","PCK1"
"PPARA","PCK1"
"NR2F1","PCK1"
"NR0B1","PCK1"
"ESRRA","PCK1"
"NCOR2","PCK1"
"RXRA","PCK1"
"PPARD","PCK1"
"ESRRG","PCK1"
"ZNF746","PCK1"
"ZNF692","PCK1"
"PPARG","CAT"
"PPARA","CAT"
"RXRA","CAT"
"PPARD","CAT"
"PPARA","ANG"
"PPARD","ANG"
"PPARG","UCP3"
"PPARA","UCP3"
"RXRA","UCP3"
"PPARD","UCP3"
"NCOR2","CYP24A1"
"RXRA","CYP24A1"
"PPARG","CYP1A1"
"PPARA","CYP1A1"
"NR2F1","CYP1A1"
"NCOR2","CYP1A1"
"RXRA","CYP1A1"
"PPARD","CYP1A1"
"KLF16","CYP1A1"
"PPARG","APOA2"
"PPARA","APOA2"
"NR2F1","APOA2"
"RXRA","APOA2"
"PPARD","APOA2"
"PPARA","ABCD2"
"NR0B1","ABCD2"
"NR0B1","ABCD3"
"PPARG","UCP1"
"PPARA","UCP1"
"ESRRA","UCP1"
"RXRA","UCP1"
"PPARD","UCP1"
"KDM3B","UCP1"
"PPARA","RPS14"
"NR2F1","RPS14"
"PPARG","FGF1"
"PPARA","FGF1"
"NCOR2","ALG3"
"PPARA","FSHR"
"NR2F1","FSHR"
"NR0B1","FSHR"
"NCOR2","PPM1D"
"PPARG","CALR"
"PPARA","CALR"
"NR2F1","CALR"
"PPARD","CALR"
"PPARG","REN"
"PPARA","REN"
"NR2F1","VTN"
"PPARG","UCP2"
"PPARA","UCP2"
"PPARGC1B","UCP2"
"PPARA","CPT1A"
"PPARD","CPT1A"
"PPARG","SAT1"
"PPARA","SAT1"
"PPARD","SAT1"
"ESRRA","MAOB"
"RXRA","MAOB"
"ESRRA","CYCS"
"PPARG","TXNIP"
"PPARA","TXNIP"
"RXRA","TXNIP"
"MED23","TXNIP"
"PPARA","MLYCD"
