"Gene1","Gene2"
"FOS","FOS"
"FOS","JUND"
"JUND","JUND"
"FOS","FOSL1"
"JUND","FOSL1"
"FOS","JUNB"
"JUND","JUNB"
"FOSL1","JUNB"
"JUNB","JUNB"
"FOS","BATF3"
"FOS","FOSB"
"FOSB","FOSB"
"FOSL1","EZH2"
"BACH1","EZH2"
"EZH2","EZH2"
"FOS","ZSCAN26"
"FOS","FOSL2"
"FOSL1","FOSL2"
"FOS","BGLAP"
"JUND","BGLAP"
"JUNB","BGLAP"
"FOSB","BGLAP"
"ZNF384","BGLAP"
"FOSL2","BGLAP"
"GTF2F1","BGLAP"
"FOS","IL2"
"MAFK","IL2"
"JUND","IL2"
"FOSL1","IL2"
"JUNB","IL2"
"BACH2","IL2"
"BATF3","IL2"
"FOSB","IL2"
"FOSL2","IL2"
"FOS","IVL"
"JUND","IVL"
"FOSL1","IVL"
"JUNB","IVL"
"FOSL2","IVL"
"MAFK","HBB"
"BACH2","HBB"
"BACH1","HBB"
"ADNP2","HBB"
"FOS","IL6"
"MAFK","IL6"
"JUND","IL6"
"FOSL1","IL6"
"JUNB","IL6"
"BACH1","IL6"
"EZH2","IL6"
"FOSL2","IL6"
"ZMYND11","IL6"
"FOS","PTGS2"
"JUND","PTGS2"
"JUNB","PTGS2"
"NKRF","PTGS2"
"EZH2","PTGS2"
"FOS","NQO1"
"MAFK","NQO1"
"JUND","NQO1"
"FOSL1","NQO1"
"JUNB","NQO1"
"BACH1","NQO1"
"FOS","MMP1"
"FOSL1","MMP1"
"JUNB","MMP1"
"BATF3","MMP1"
"ZNF384","MMP1"
"BACH1","MMP1"
"SP100","MMP1"
"FOS","CXCL8"
"MAFK","CXCL8"
"JUND","CXCL8"
"FOSL1","CXCL8"
"NKRF","CXCL8"
"FOSB","CXCL8"
"BACH1","CXCL8"
"FOS","MMP13"
"JUND","MMP13"
"FOSL1","MMP13"
"JUNB","MMP13"
"ZNF384","MMP13"
"FOSL2","MMP13"
"FOS","PLAU"
"JUND","PLAU"
"JUNB","PLAU"
"SP100","PLAU"
"FOS","EGF"
"JUND","EGF"
"FOSL1","EGF"
"JUNB","EGF"
"FOS","CLU"
"JUND","CLU"
"FOSL1","CLU"
"JUNB","CLU"
"FOSL2","CLU"
"FOSB","GFAP"
"ZNF384","GFAP"
"EZH2","GFAP"
"JUND","ITGAV"
"FOSL1","ITGAV"
"FOS","MAP2K1"
"JUNB","MAP2K1"
"FOS","PLAUR"
"JUND","PLAUR"
"FOSL1","PLAUR"
"FOSL2","PLAUR"
"JUND","CCR4"
"JUNB","CCR4"
"FOSL2","CCR4"
"JUND","SFTPD"
"FOSL1","SFTPD"
"JUNB","SFTPD"
"FOS","HPGDS"
"MAFK","HPGDS"
"JUND","HPGDS"
"JUNB","HPGDS"
"NKRF","HPGDS"
"FOS","PENK"
"JUND","PENK"
"JUNB","PENK"
"FOSB","PENK"
"FOS","GSTP1"
"MAFK","GSTP1"
"EZH2","GSTP1"
"JUND","GCLM"
"NKRF","GCLM"
"FOS","GSTK1"
"JUND","GSTK1"
"JUNB","GSTK1"
"FOS","IL11"
"JUND","IL11"
"FOSL1","IL11"
"JUNB","IL11"
"FOSB","IL11"
"FOSL2","IL11"
"JUND","DNAJB4"
"JUNB","DNAJB4"
"FOSB","DNAJB4"
"EZH2","DAB2IP"
"BACH1","PEBP1"
"EZH2","PEBP1"
"FOS","SERPINB2"
"FOSB","SERPINB2"
"EZH2","PIP5K1C"
"EZH2","RAP1GAP"
"EZH2","VCL"
"FOS","PES1"
"JUND","PES1"
"JUNB","PES1"
"JUND","LY6K"
"FOSL1","LY6K"
"JUND","GCKR"
"FOSL2","GCKR"
"EZH2","CPEB1"
"EZH2","RPS28"
"FOS","NTS"
"JUND","NTS"
"EZH2","RPLP0"
"FOS","FMO4"
"FOS","SRR"
"EZH2","GPR26"
"EZH2","HOXC12"
"EZH2","PARP12"
"EZH2","RNF19B"
"EZH2","SPOCK2"
"EZH2","TMEM200A"
"FOS","GRIK2"
"FOS","TRPM6"
"EZH2","hsa-miR-214"
