"Gene1","Gene2"
"ISL1","ISL1"
"HNF1B","HNF1B"
"HNF1B","PDX1"
"PDX1","PDX1"
"PDX1","FOXA1"
"PDX1","ZNF236"
"PDX1","NKX6-1"
"NKX6-1","NKX6-1"
"HNF1B","ONECUT1"
"PDX1","ONECUT1"
"FOXA1","ONECUT1"
"ONECUT1","ONECUT1"
"HNF1B","NEUROG3"
"PDX1","NEUROG3"
"NKX6-1","NEUROG3"
"ONECUT1","NEUROG3"
"NEUROG3","NEUROG3"
"ISL1","PAX4"
"NEUROG3","PAX4"
"PDX1","ZGLP1"
"PDX1","MAFA"
"NKX6-1","MAFA"
"ONECUT1","MAFA"
"MAFA","MAFA"
"ISL1","BHLHE23"
"OLIG1","OLIG1"
"NEUROG3","MYT1"
"ISL1","NHLH1"
"NEUROG3","NHLH1"
"ISL1","NKX2-2"
"FOXA1","NKX2-2"
"NKX6-1","NKX2-2"
"NEUROG3","NKX2-2"
"NKX2-2","NKX2-2"
"ALX3","ALX3"
"ONECUT1","ONECUT3"
"ISL1","ARX"
"NKX6-1","ARX"
"PAX4","ARX"
"NKX2-2","ARX"
"ARX","ARX"
"NEUROG3","GLIS3"
"MAFA","GLIS3"
"ISL1","GCG"
"PDX1","GCG"
"FOXA1","GCG"
"NKX6-1","GCG"
"NEUROG3","GCG"
"PAX4","GCG"
"ZGLP1","GCG"
"MAFA","GCG"
"MYT1","GCG"
"ARX","GCG"
"PDX1","ABCC8"
"NEUROG3","ABCC8"
"ISL1","INS"
"HNF1B","INS"
"PDX1","INS"
"ZNF236","INS"
"NKX6-1","INS"
"ONECUT1","INS"
"NEUROG3","INS"
"PAX4","INS"
"ZGLP1","INS"
"MAFA","INS"
"BHLHE23","INS"
"NKX2-2","INS"
"ALX3","INS"
"GLIS3","INS"
"ISL1","SST"
"PDX1","SST"
"NEUROG3","SST"
"NKX2-2","SST"
"ALX3","SST"
"ARX","SST"
"PDX1","PCSK1"
"NKX6-1","PCSK1"
"MAFA","PCSK1"
"ISL1","SHH"
"HNF1B","SHH"
"FOXA1","SHH"
"OLIG1","SHH"
"NHLH1","SHH"
"NKX2-2","SHH"
"ARX","SHH"
"HOXD12","SHH"
"ISL1","REG3A"
"PDX1","REG3A"
"NEUROG3","REG3A"
"PAX4","REG3A"
"NKX2-2","REG3A"
"ISL1","IAPP"
"PDX1","IAPP"
"NKX6-1","IAPP"
"ZGLP1","IAPP"
"HNF1B","SLC2A2"
"PDX1","SLC2A2"
"ZNF236","SLC2A2"
"NKX6-1","SLC2A2"
"ONECUT1","SLC2A2"
"MAFA","SLC2A2"
"NEUROG3","SCT"
"ZGLP1","SCT"
"ARX","SCT"
"NEUROG3","PLP1"
"OLIG1","PLP1"
"MYT1","PLP1"
"NKX2-2","PLP1"
"ISL1","KCNJ11"
"PDX1","KCNJ11"
"ZGLP1","KCNJ11"
"PDX1","AGXT"
"HNF1B","SI"
"PDX1","SI"
"ONECUT1","SI"
"PDX1","FABP1"
"FOXA1","FABP1"
"PDX1","CSNK2A2"
"ZNF236","CSNK2A2"
"PDX1","INS-IGF2"
"MAFA","INS-IGF2"
"FOXA1","IFI27"
"HNF1B","TTR"
"FOXA1","TTR"
"ONECUT1","TTR"
"ISL1","GIP"
"PDX1","GIP"
"ZGLP1","GIP"
"RFX6","GIP"
"PDX1","GSR"
"MAFA","GSR"
"HNF1B","ADCY10"
"PDX1","PCIF1"
"ISL1","GHRL"
"NKX2-2","GHRL"
"ARX","GHRL"
"PDX1","G6PC2"
"FOXA1","G6PC2"
"MAFA","G6PC2"
"HNF1B","NNMT"
"PAX4","FZD8"
"ISL1","RILP"
"PDX1","GLP1R"
"NKX6-1","GLP1R"
"ZGLP1","GLP1R"
"MAFA","GLP1R"
"GLIS3","FGF18"
"NKX2-2","RAB34"
"PDX1","FFAR1"
"ZGLP1","FFAR1"
"HNF1B","TRIP12"
"NKX2-2","CD52"
"PDX1","SLC30A8"
"NKX2-2","ERMN"
"PDX1","DNER"
"NKX6-1","DNER"
"NEUROG3","DNER"
"HNF1B","MEP1B"
"HNF1B","MIB1"
"NEUROG3","MIB1"
"ISL1","CAPS2"
"NEUROG3","CAPS2"
"ISL1","SLC2A10"
"NEUROG3","SLC2A10"
"ZNF236","FERMT2"
"HNF1B","UMOD"
"PDX1","CELA1"
"HNF1B","KIF12"
