"Gene1","Gene2"
"NFATC2","NFATC2"
"XBP1","XBP1"
"NFATC2","CIITA"
"NFATC2","NFATC1"
"CIITA","NFATC1"
"NFATC1","NFATC1"
"SALL2","SALL2"
"NFATC1","LIMD1"
"NFATC2","NKX2-3"
"NFATC1","NKX2-3"
"XBP1","RBFOX2"
"NFATC2","PSMA5"
"NFATC2","XCL1"
"NFATC1","TRAF6"
"NFATC2","LARGE1"
"XBP1","LARGE1"
"SALL2","LARGE1"
"NFATC3","FASTK"
"NFATC1","FASTK"
"NFATC2","TNFSF11"
"XBP1","TNFSF11"
"NFATC3","TNFSF11"
"NFATC1","TNFSF11"
"XBP1","CLYBL"
"NFATC1","MAPK3"
"NFATC2","CD3E"
"NFATC1","CYP2E1"
"NFATC2","CX3CR1"
"NFATC1","CX3CR1"
"NFATC2","LGALS4"
"XBP1","DNAJB9"
"NFATC2","RCAN1"
"NFATC1","RCAN1"
"NFATC3","DNAJB6"
"XBP1","SLC30A5"
"NKX2-3","MADCAM1"
"NFATC1","DCSTAMP"
"NFATC2","APOBEC3G"
"NFATC1","CALCR"
"NFATC1","CORT"
"NFATC1","PDPN"
"XBP1","KLRG1"
"NFATC1","EFNA2"
"NFATC2","CCR9"
"NFATC1","CCR9"
"NFATC2","IL31"
"NFATC1","IL31"
"NFATC2","NFATC2IP"
"NFATC1","NFATC2IP"
"NFATC2","TNFSF12"
"NFATC1","PLCG2"
"XBP1","STARD5"
"NFATC2","VRK2"
"XBP1","UFM1"
"XBP1","ERN1"
"NFATC1","IGKV3-20"
"CIITA","PLXNA1"
"CIITA","PSMC5"
"CIITA","RAB4B"
"NFATC2","CD3G"
"NFATC1","CD3G"
"XBP1","EDEM2"
"XBP1","ERP29"
"NFATC2","GPC6"
"NFATC3","GPC6"
"NFATC1","GPC6"
"NFATC2","MYOF"
"NFATC1","LTBP3"
"NFATC2","ENTPD2"
"NFATC2","S100A3"
"NFATC3","KCNB1"
"NFATC3","KCNC1"
