"Gene1","Gene2"
"MBD1","MBD1"
"DNMT1","DNMT1"
"DNMT1","MBD2"
"MBD2","MBD2"
"DNMT1","DNMT3B"
"DNMT3B","DNMT3B"
"MBD2","KDM5C"
"KDM5C","KDM5C"
"DNMT1","DMAP1"
"PURA","APBB1"
"MBD2","PHF8"
"KDM5C","PHF8"
"KDM5C","ZNF711"
"KDM5C","BRD4"
"DMAP1","BRD4"
"ARID5A","SRSF2"
"SRSF2","SRSF2"
"DNMT1","ALOX15"
"MBD2","ALOX15"
"DNMT1","MBP"
"PURA","MBP"
"ARID5A","MBP"
"DNMT1","BAG1"
"DNMT3B","BAG1"
"SRSF2","HNRNPL"
"DNMT1","JUP"
"DNMT3B","JUP"
"DNMT1","CCNB2"
"DNMT3B","CCNB2"
"MBD1","MGMT"
"DNMT1","MGMT"
"DNMT1","MSH2"
"MBD2","MSH2"
"ZNF395","IFIT1"
"MBD1","MBD4"
"DNMT3B","MBD4"
"DNMT3B","SLC11A1"
"ZFP1","SLC11A1"
"DNMT3B","KEAP1"
"DNMT1","EREG"
"MBD2","EREG"
"DNMT3B","EREG"
"DNMT1","RRP8"
"DNMT3B","RRP8"
"KDM5C","RRP8"
"DNMT3B","CDH13"
"MBD2","GPN1"
"DNMT1","PRC1"
"DNMT3B","PRC1"
"DNAJC2","PRC1"
"ZNF395","HTT"
"MBD2","HTT"
"KDM5C","HTT"
"DNMT1","EHMT2"
"DNMT3B","EHMT2"
"KDM5C","EHMT2"
"MBD1","ALOX5"
"MBD2","ALOX5"
"SRSF2","SRSF1"
"MBD2","SMO"
"DNMT1","FHIT"
"DNMT1","CLDN16"
"MBD2","ACOT13"
"DNMT1","PRM3"
"MBD2","MBD3L2"
"DNMT1","HAL"
"DNMT1","DLC1"
"DNMT3B","DLC1"
"BRD4","HNRNPH1"
"SRSF2","HNRNPH1"
"DNMT3B","PCDH10"
"MBD2","S100A7"
"DNMT1","SUV39H1"
"MBD2","SUV39H1"
"DNMT3B","SUV39H1"
"DNMT1","WIF1"
"DNMT3B","WIF1"
"MBD2","VAMP7"
"PHF8","CDC20"
"MBD2","JMJD1C"
"MBD1","MAGEA12"
"MBD2","MAGEA12"
"MBD2","SETD7"
"MBD2","TNP1"
"DNMT3B","IGF2-AS"
"DNMT1","SFRP5"
"DNMT3B","SFRP5"
"DNMT1","FMO3"
"DNMT1","CBX1"
"DNMT1","MYLIP"
"DNMT3B","MYLIP"
"DNMT1","KIR2DL4"
"MBD1","AURKB"
"MBD2","AURKB"
"SRSF2","AURKB"
"DNMT1","AGO1"
"DNMT1","CHFR"
"DNMT1","KIR2DL3"
"MBD2","MIR17HG"
"DNMT1","FXN"
"MBD2","EP400"
"KDM5C","EP400"
"DNMT1","CD70"
"MBD2","CD70"
"DNMT3B","TYRO3"
"DNMT3B","CUL4A"
"MBD2","ADGRB1"
"DNMT1","SLC12A2"
"DNMT3B","LAD1"
"DNMT3B","MTSS1"
"MBD2","KDM8"
"ZNF395","SLC16A2"
"MBD2","PHF21A"
"DNMT1","ALDH3B1"
"DNMT3B","DPP6"
"DNMT1","RGS10"
"PURA","RBM8A"
"MBD2","KLK10"
"APBB1","GMPS"
"BRD4","HS1BP3"
"BRD4","MLF2"
"SRSF2","RSRC2"
"DNMT1","BAG4"
"DNMT3B","BAG4"
"DNMT3B","SLC25A31"
"PURA","ST6GAL2"
"MBD2","hsa-miR-31-5p"
"MBD2","hsa-miR-496"
