"Gene1","Gene2"
"ERF","ERF"
"SMARCA1","SMARCA1"
"KMT2A","KMT2A"
"CTCFL","CTCFL"
"SMARCA1","SMARCA5"
"KMT2A","HOXC13"
"KMT2A","KMT2B"
"HOXC13","KMT2B"
"ZNF652","CBFA2T3"
"ZNF423","ZNF521"
"HOXC13","ZNF521"
"KMT2A","HOXC10"
"KMT2B","HOXC10"
"ERF","TRIM62"
"SMARCA1","PRMT5"
"KMT2B","PRMT5"
"ERF","GUCY2C"
"SMARCA1","DNAH8"
"SMARCA5","DNAH8"
"KMT2A","CFC1"
"PURB","CFC1"
"SMARCA1","BIN1"
"ERF","CRYAA"
"HIVEP1","CRYAA"
"SMARCA5","CRYAA"
"SMARCA1","EPB42"
"CBFA2T3","EPB42"
"KMT2A","PIK3C3"
"KMT2A","EXOSC1"
"ZNF423","OAZ3"
"SMARCA1","H2AZ1"
"KMT2A","ASB2"
"SMARCA1","ACOT8"
"SMARCA1","NME1"
"KMT2A","KRT16"
"KMT2A","ANKRD2"
"SMARCA1","ISYNA1"
"SMARCA1","ST7"
"ERF","HPS4"
"ERF","ARAF"
"CTCFL","CTAG1A"
"HOXC13","CRISP3"
"KMT2A","BTRC"
"CTCFL","PRMT7"
"KMT2B","PRMT7"
"SMARCA5","CASR"
"GCM2","CASR"
"ERF","IREB2"
"SMARCA1","CHD1"
"KMT2A","CHD1"
"SMARCA5","CHD1"
"CTCFL","GAL3ST1"
"KMT2A","RPL22"
"KMT2A","ASXL2"
"KMT2A","AFF1"
"CTCFL","MAGEA4"
"SMARCA1","RIC8B"
"KMT2A","ELL2"
"SMARCA1","CECR2"
"SMARCA5","CECR2"
"CTCFL","FER"
"KMT2B","HRH4"
"KMT2B","ME2"
"KMT2A","MLLT1"
"KMT2A","MAGOHB"
"KMT2A","RBBP5"
"SMARCA5","WNT5B"
"KMT2A","CHD8"
"SMARCA1","INO80"
"SMARCA5","INO80"
"KMT2B","HHAT"
"SMARCA1","SLC9A3R2"
"SMARCA1","POLR3E"
"HOXC13","LAMB2"
"HOXC10","LAMB2"
