"Gene1","Gene2"
"STAT4","STAT4"
"STAT4","STAT6"
"STAT6","STAT6"
"STAT4","IRF4"
"STAT6","IRF4"
"IRF4","IRF4"
"STAT6","BCL6"
"IRF4","BCL6"
"BCL6","BCL6"
"MAFB","MAFB"
"STAT6","PRDM1"
"IRF4","PRDM1"
"BCL6","PRDM1"
"MAFB","PRDM1"
"PRDM1","PRDM1"
"IRF4","MAF"
"MAFB","MAF"
"MAF","MAF"
"STAT4","TBX21"
"STAT6","TBX21"
"BCL6","TBX21"
"PRDM1","TBX21"
"TBX21","TBX21"
"IRF4","IKZF1"
"TBX21","IKZF1"
"TBX21","EOMES"
"STAT6","BATF"
"IRF4","BATF"
"MAF","BATF"
"RORC","TOB1"
"TBX21","TOX2"
"STAT4","IFNA1"
"IRF4","IFNA1"
"BCL6","IFNA1"
"MAFB","IFNA1"
"PRDM1","IFNA1"
"THAP12","IFNA1"
"STAT6","CCL13"
"BCL6","CCL13"
"STAT6","IL4"
"IRF4","IL4"
"BCL6","IL4"
"MAF","IL4"
"TBX21","IL4"
"IKZF1","IL4"
"BCL6B","IL4"
"BATF","IL4"
"STAT4","IFNG"
"STAT6","IFNG"
"SP140","IFNG"
"IRF4","IFNG"
"BCL6","IFNG"
"PRDM1","IFNG"
"MAF","IFNG"
"TBX21","IFNG"
"IKZF1","IFNG"
"RORC","IFNG"
"EOMES","IFNG"
"BCL6","MAPK1"
"MAFB","MAPK1"
"BCL6","CCND2"
"MAFB","CCND2"
"MAF","CCND2"
"STAT4","IL10"
"STAT6","IL10"
"IRF4","IL10"
"BCL6","IL10"
"PRDM1","IL10"
"MAF","IL10"
"TBX21","IL10"
"IKZF1","IL10"
"BATF","IL10"
"STAT6","CCL11"
"BCL6","CCL11"
"TBX21","CCL11"
"STAT6","TLR4"
"IRF4","TLR4"
"STAT6","CCL7"
"BCL6","CCL7"
"STAT6","SOCS1"
"TBX21","SOCS1"
"BCL6","SLC22A6"
"BCL6","RBBP7"
"STAT4","IL13"
"STAT6","IL13"
"IRF4","IL13"
"MAF","IL13"
"TBX21","IL13"
"IKZF1","IL13"
"TBX21","IL2RB"
"EOMES","IL2RB"
"PRDM1","MKI67"
"MAF","CRYBB2"
"MAFB","NPRL3"
"MAF","NPRL3"
"PRDM1","TSPOAP1"
"MAF","TSPOAP1"
"MAFB","CRYGD"
"MAF","CRYGD"
"IRF4","IL15"
"TBX21","IL15"
"TOX2","IL15"
"STAT6","FCER2"
"IRF4","FCER2"
"BCL6","FCER2"
"PRDM1","FCER2"
"STAT4","IL17A"
"STAT6","IL17A"
"IRF4","IL17A"
"BCL6","IL17A"
"TBX21","IL17A"
"RORC","IL17A"
"EOMES","IL17A"
"BATF","IL17A"
"IRF4","CCL3"
"BCL6","CCL3"
"TBX21","CCL3"
"EOMES","CCL3"
"STAT6","IGHG1"
"MAF","CD2"
"BATF","CD2"
"BCL6","CXCR5"
"PRDM1","CXCR5"
"STAT4","CD8A"
"MAF","CD8A"
"TBX21","CD8A"
"EOMES","CD8A"
"BATF","CD8A"
"STAT4","IL21"
"IRF4","IL21"
"BCL6","IL21"
"MAF","IL21"
"TBX21","IL21"
"IKZF1","IL21"
"RORC","IL21"
"EOMES","IL21"
"BATF","IL21"
"BCL6","SNCA"
"PRDM1","SNCA"
"TBX21","SNCA"
"BATF","SNCA"
"ZSCAN21","SNCA"
"IRF4","MS4A1"
"BCL6","MS4A1"
"PRDM1","WNT8A"
"STAT6","ICOS"
"TBX21","ICOS"
"BCL6","GZMB"
"PRDM1","GZMB"
"IKZF1","GZMB"
"BCL6","PDCD2"
"TBX21","CXCR3"
"EOMES","ALKBH1"
"EOMES","CYFIP1"
"PRDM1","NLRP12"
"BCL6","ATR"
"MAF","ADGRE1"
"STAT6","CCL8"
"BCL6","CCL8"
"PRDM1","CCL8"
"PRDM1","IL17F"
"TBX21","IL17F"
"RORC","IL17F"
"IRF4","FAIM"
"PRDM1","RSAD2"
"STAT6","IL1R1"
"RORC","IL1R1"
"RORC","IL23R"
"RORC","KLRB1"
"MAF","IL22"
"IKZF1","IL22"
"RORC","IL22"
"TBX21","IL37"
"TBX21","GPR132"
"MAFB","SPOCK1"
"PRDM1","SPOCK1"
"TBX21","ELAVL2"
"EOMES","ELAVL2"
"TBX21","B3GAT1"
"MAF","MAF1"
"PRDM1","CD27"
"PRDM1","GCSAM"
"STAT6","CYSLTR1"
"STAT6","SIDT1"
"TBX21","PTGDR2"
"MAF","LALBA"
"STAT6","CCR8"
