"Gene1","Gene2"
"NR0B2","NR0B2"
"DBP","HLF"
"NR0B2","NR1H4"
"NR0B2","NR5A2"
"NR1H4","NR5A2"
"NR5A2","NR5A2"
"NR0B2","NR1H3"
"NR1H4","NR1H3"
"NR5A2","NR1H3"
"NR1H3","NR1H3"
"NR0B2","NCOA1"
"NR5A2","NCOA1"
"NR0B2","FOXM1"
"NR1H4","FOXM1"
"NR1H3","FOXM1"
"FOXM1","FOXM1"
"NR1H3","RORA"
"RORA","RORA"
"NR0B2","NR1H2"
"NR1H3","NR1H2"
"FOXM1","NR1H2"
"NR1H2","NR1H2"
"NR0B2","CLOCK"
"DBP","CLOCK"
"CLOCK","CLOCK"
"NR1H4","BHLHE40"
"NR1H3","BHLHE40"
"RORA","BHLHE40"
"NR1H2","BHLHE40"
"CLOCK","BHLHE40"
"BHLHE40","BHLHE40"
"NR0B2","BMAL1"
"DBP","BMAL1"
"HLF","BMAL1"
"RORA","BMAL1"
"CLOCK","BMAL1"
"BHLHE40","BMAL1"
"BMAL1","BMAL1"
"BHLHE40","BMAL2"
"NR1H3","NR1D1"
"RORA","NR1D1"
"CLOCK","NR1D1"
"BMAL1","NR1D1"
"NR1D1","NR1D1"
"RORA","NR1D2"
"BMAL1","NR1D2"
"NR1D1","NR1D2"
"RORA","NPAS2"
"CLOCK","NPAS2"
"BMAL1","NPAS2"
"NR1D1","NPAS2"
"NPAS2","NPAS2"
"FOXM1","FOXA3"
"DBP","BHLHE41"
"NR1H4","BHLHE41"
"RORA","BHLHE41"
"CLOCK","BHLHE41"
"BHLHE40","BHLHE41"
"BMAL1","BHLHE41"
"BMAL2","BHLHE41"
"NR1D1","BHLHE41"
"BHLHE41","BHLHE41"
"NR0B2","EP300"
"DBP","EP300"
"NR1H4","EP300"
"NCOA1","EP300"
"CLOCK","EP300"
"BMAL1","EP300"
"NR0B2","HNF4G"
"NR0B2","PPARGC1A"
"NR1H4","PPARGC1A"
"NCOA1","PPARGC1A"
"BHLHE40","PPARGC1A"
"BMAL1","PPARGC1A"
"NR1D1","PPARGC1A"
"FOXA3","PPARGC1A"
"PPARGC1A","PPARGC1A"
"NR1D1","NUPR1"
"EP300","NUPR1"
"NR1H3","NCOA6"
"DBP","PER2"
"HLF","PER2"
"GMEB1","PER2"
"CLOCK","PER2"
"BHLHE40","PER2"
"BMAL1","PER2"
"BMAL2","PER2"
"NPAS2","PER2"
"CLOCK","PASD1"
"EP300","ZKSCAN4"
"HLF","ABCB1"
"NR1H4","ABCB1"
"CLOCK","ABCB1"
"FOXA3","ABCB1"
"EP300","ABCB1"
"DBP","JTB"
"HLF","JTB"
"HLF","EPO"
"NCOA1","EPO"
"RORA","EPO"
"EP300","EPO"
"NR1H4","FASN"
"NR5A2","FASN"
"NR1H3","FASN"
"RORA","FASN"
"ZBTB7C","FASN"
"NR1H3","F3"
"NR1H2","F3"
"CLOCK","F3"
"NR0B2","CYP7A1"
"DBP","CYP7A1"
"HLF","CYP7A1"
"NR1H4","CYP7A1"
"NR5A2","CYP7A1"
"NR1H3","CYP7A1"
"NCOA1","CYP7A1"
"FOXM1","CYP7A1"
"NR1H2","CYP7A1"
"BHLHE40","CYP7A1"
"NR1D1","CYP7A1"
"NR1D2","CYP7A1"
"BHLHE41","CYP7A1"
"PPARGC1A","CYP7A1"
"RORA","VCAM1"
"CLOCK","VCAM1"
"EP300","VCAM1"
"NR0B2","CETP"
"NR1H4","CETP"
"NR5A2","CETP"
"NR1H3","CETP"
"NR1H2","CETP"
"NR0B2","CYP3A4"
"DBP","CYP3A4"
"NR1H3","CYP3A4"
"NCOA1","CYP3A4"
"FOXM1","CYP3A4"
"BHLHE40","CYP3A4"
"FOXA3","CYP3A4"
"NCOA6","CYP3A4"
"NR1H4","HSD3B2"
"NR5A2","HSD3B2"
"NCOA1","HSD3B2"
"DBP","AFP"
"NR5A2","AFP"
"FOXM1","AFP"
"RORA","AFP"
"NR1D1","AFP"
"NR1D2","AFP"
"HNF4G","AFP"
"ZBTB20","AFP"
"NR0B2","SCARB1"
"NR1H4","SCARB1"
"NR5A2","SCARB1"
"NR1H3","SCARB1"
"NR1H2","SCARB1"
"DBP","IGKV2D-26"
"NR0B2","FABP6"
"NR1H4","FABP6"
"NR1H3","FABP6"
"NR0B2","GCK"
"NR5A2","GCK"
"NR1H3","GCK"
"FOXM1","GCK"
"NR1H2","GCK"
"BHLHE40","CYP51A1"
"BHLHE41","CYP51A1"
"BHLHE40","CENPX"
"BHLHE41","CENPX"
"NR0B2","CYP8B1"
"NR1H4","CYP8B1"
"NR5A2","CYP8B1"
"RORA","CYP8B1"
"CLOCK","CYP8B1"
"CLOCK","PKM"
"BMAL1","PKM"
"NR0B2","G6PC1"
"NR1H3","G6PC1"
"RORA","G6PC1"
"NR1H2","G6PC1"
"NR1D1","G6PC1"
"CREB3L3","G6PC1"
"NR1H4","VARS1"
"RORA","CAV3"
"EP300","CAV3"
"PPARGC1A","CAV3"
"DBP","PER1"
"NR2F6","PER1"
"CLOCK","PER1"
"BHLHE40","PER1"
"BMAL1","PER1"
"BMAL2","PER1"
"NPAS2","PER1"
"BHLHE41","PER1"
"NR0B2","ABCA1"
"NR1H4","ABCA1"
"NR1H3","ABCA1"
"NCOA1","ABCA1"
"NR1H2","ABCA1"
"ZNF202","ABCA1"
"RORA","CPT1B"
"EP300","CPT1B"
"PPARGC1A","CPT1B"
"NR1H4","APOA1"
"NR1H3","APOA1"
"RORA","APOA1"
"NR2F6","APOA1"
"NR1D1","APOA1"
"ZNF202","APOA1"
"NR5A2","NOS1"
"EP300","NOS1"
"BMAL1","ADCY1"
"NPAS2","ADCY1"
"NR1H4","APOE"
"NR1H3","APOE"
"FOXM1","APOE"
"NR1H2","APOE"
"ZNF202","APOE"
"NR0B2","APOC3"
"NR1H4","APOC3"
"NCOA1","APOC3"
"RORA","APOC3"
"NR2F6","APOC3"
"NR1D1","APOC3"
"NR1D2","APOC3"
"HNF4G","APOC3"
"PPARGC1A","APOC3"
"NR0B2","PLTP"
"NR1H4","PLTP"
"NR1H3","PLTP"
"NR1H2","PLTP"
"NR0B2","ABCG1"
"NR1H3","ABCG1"
"NR1H2","ABCG1"
"ZNF202","ABCG1"
"NR0B2","APOB"
"FOXM1","APOB"
"NR2F6","APOB"
"RERE","APOB"
"NR1H3","AKR1C4"
"HNF4G","AKR1C4"
"NR1H4","ABCB11"
"NR5A2","ABCB11"
"CLOCK","CRY1"
"BHLHE40","CRY1"
"BMAL1","CRY1"
"NPAS2","CRY1"
"NR1H3","CYP7B1"
"RORA","CYP7B1"
"NR1H2","CYP7B1"
"NCOA1","ADRB1"
"BMAL1","ADRB1"
"NR0B2","GBA2"
"NR5A2","GBA2"
"NR1H4","APOC2"
"NR1H3","APOC2"
"NR2F6","APOC2"
"NCOA1","CYP2C9"
"RORA","CYP2C9"
"PPARGC1A","CYP2C9"
"NCOA6","CYP2C9"
"NR0B2","CYP2D6"
"BHLHE41","CYP2D6"
"HNF4G","CYP2D6"
"CLOCK","CRY2"
"BMAL1","CRY2"
"NPAS2","CRY2"
"CLOCK","SLC9A3"
"BMAL1","SLC9A3"
"BMAL1","CSNK1E"
"NR1H4","ABCG5"
"NR5A2","ABCG5"
"NR1H3","ABCG5"
"NR1H2","ABCG5"
"NCOA1","OTC"
"PPARGC1A","OTC"
"NR5A2","ARG1"
"NR1H3","ARG1"
"RORA","ARG1"
"RERE","ARG1"
"NR0B2","SLC10A2"
"NR1H4","SLC10A2"
"NR5A2","SLC10A2"
"TCFL5","SLC10A2"
"CLOCK","NOCT"
"BMAL1","NOCT"
"NR1H4","NISCH"
"DBP","C7"
"NR1H3","C7"
"NR1H4","APOA5"
"NR1H3","APOA5"
"NCOA1","APOA5"
"RORA","APOA5"
"PPARGC1A","APOA5"
"CREB3L3","APOA5"
"NR1H4","UGT2B4"
"CLOCK","USP2"
"NR5A2","UQCRQ"
"CLOCK","CACNB2"
"CLOCK","PSEN2"
"BMAL1","PSEN2"
"NR1H3","PLIN1"
"RORA","PLIN1"
"NR5A2","ABCG8"
"NR1H3","ABCG8"
"NR1H2","ABCG8"
"TCFL5","CLGN"
"NR0B2","TIMP2"
"NR1H4","TIMP2"
"NR0B2","SLC22A7"
"NR1H4","SLC22A7"
"FOXM1","LAMA4"
"NR0B2","SLC51B"
"NR1H4","SLC51B"
"NR5A2","SLC51B"
"NR1H3","SLC51B"
"NR1H3","ABCG4"
"NR1H2","ABCG4"
"NR0B2","XPR1"
"NR0B2","SLC51A"
"NR1H4","SLC51A"
"NR5A2","SLC51A"
"NR1H3","SLC51A"
"NR1H3","PFKFB1"
"NR1H2","PFKFB1"
"NR1H4","SDC1"
"BHLHE41","SDC1"
"NR1H4","ATP8B1"
"NR1H4","UGT1A3"
"NR1H3","UGT1A3"
"BMAL1","ARSL"
"FOXM1","SERPINA10"
"NR0B2","PRKAA1"
"NR5A2","PRKAA1"
"NR1H3","PRKAA1"
"NR1H3","FGF21"
"RORA","FGF21"
"NR1H2","FGF21"
"NR1D1","FGF21"
"PPARGC1A","FGF21"
"CREB3L3","FGF21"
"NR1H4","ALAS1"
"NR5A2","ALAS1"
"CLOCK","DEFB1"
"BMAL1","DEFB1"
"NPAS2","RDH12"
"CLOCK","DELEC1"
"BHLHE40","DELEC1"
"NCOA1","STC1"
"BMAL1","CRYL1"
"BHLHE40","PRKAG3"
"NR1H2","POLR2B"
"DBP","ALDOB"
"NCOA1","ALDOB"
"FOXM1","ALDOB"
"PPARGC1A","ALDOB"
"NCOA1","ERRFI1"
"NR1H3","SELPLG"
"RORA","ROR2"
"CLOCK","PER3"
"BMAL1","PER3"
"NR0B2","PCK2"
"NR1H4","PCK2"
"NR1H3","PCK2"
"NCOA1","PCK2"
"NR1H2","PCK2"
"BHLHE40","PCK2"
"PPARGC1A","PCK2"
"CREB3L3","PCK2"
"RORA","ROR1"
"NR1H3","LPCAT3"
"NR1H3","ARL4C"
"CLOCK","TRNT1"
"NR1H4","RARRES2"
"NR1D1","RARRES2"
"RORA","SULT1B1"
"RORA","SMARCD1"
"NR1H3","FBP1"
"NR1H2","FBP1"
"ZBTB20","FBP1"
"NR1H3","FBP2"
"NR1H4","TMIE"
"RORA","TWSG1"
"CLOCK","ATG14"
"BMAL1","ATG14"
"RORA","DRD3"
"NR1D1","DRD3"
"RORA","PCP4"
"RORA","NLGN1"
"NR1H3","SULT1C2"
"NR1H4","SULT1C4"
"NR1H3","SULT1C4"
"NR1H2","SULT1C4"
"CLOCK","CIART"
"BMAL1","CIART"
"NR1H3","HK1"
"NR1H2","HK1"
"NR5A2","UQCRB"
"FOXM1","BRIP1"
"NR5A2","FGB"
"FOXM1","FGB"
"NUPR1","MSL1"
"RORA","NPSR1"
"ZNF202","POMGNT1"
"NR1H3","ENHO"
"NR1H2","ENHO"
"RORA","SLC1A6"
"NR1H3","CCL24"
"NR1H4","FETUB"
"NR5A2","DIAPH2"
"NR1H4","SLC7A7"
"EP300","INVS"
"FOXA3","COX4I2"
