"Gene1","Gene2"
"JUN","JUN"
"JUN","ZNF195"
"JUN","ZNF383"
"JUN","MID2"
"JUN","TRIM14"
"JUN","TRIM15"
"JUN","TRIM27"
"JUN","TRIM31"
"JUN","TRIM5"
"HR","TRIM5"
"JUN","AP1"
"JUN","MCAT"
"AP1","MCAT"
"JUN","SRC"
"AP1","SRC"
"HR","TGFA"
"AP1","TGFA"
"JUN","DCTN1"
"HR","CISH"
"AP1","CISH"
"JUN","ICAM1"
"HR","ICAM1"
"CNOT7","ICAM1"
"AP1","ICAM1"
"JUN","MMP12"
"AP1","MMP12"
"JUN","MCF2"
"JUN","CABIN1"
"AP1","CABIN1"
"JUN","ELN"
"AP1","ELN"
"MED15","NCF2"
"AP1","NCF2"
"JUN","TCIRG1"
"AP1","TCIRG1"
"JUN","MICU1"
"HR","CHRNA7"
"JUN","GC"
"AP1","GC"
"JUN","TNFRSF8"
"AP1","TNFRSF8"
"JUN","SERPINF2"
"AP1","SERPINF2"
"HR","SLA"
"AP1","SLA"
"JUN","PTN"
"AP1","PTN"
"JUN","SLC29A1"
"JUN","CDC42"
"JUN","AKR1B10"
"AP1","AKR1B10"
"JUN","RHOB"
"AP1","RHOB"
"JUN","CTSK"
"AP1","CTSK"
"JUN","DIDO1"
"AP1","DIDO1"
"JUN","TNFAIP6"
"AP1","TNFAIP6"
"HR","TAB1"
"JUN","NELFE"
"AP1","NELFE"
"JUN","GNLY"
"AP1","GNLY"
"AP1","YBEY"
"JUN","MT2A"
"AP1","MT2A"
"JUN","PRDX1"
"AP1","PRDX1"
"AP1","KNG1"
"JUN","PRKCE"
"AP1","PRKCE"
"JUN","NEFL"
"JUN","THPO"
"AP1","BTG1"
"JUN","EFHD2"
"JUN","KRT15"
"AP1","KRT15"
"AP1","PELP1"
"JUN","GAB2"
"JUN","KIFBP"
"HR","KIFBP"
"AP1","KIFBP"
"JUN","MMP26"
"AP1","MMP26"
"JUN","PHEX"
"AP1","PHEX"
"JUN","SERPINB3"
"AP1","SERPINB3"
"JUN","CYP2J2"
"AP1","CYP2J2"
"JUN","SPRR1A"
"JUN","PON2"
"AP1","PON2"
"JUN","AQP5"
"AP1","AQP5"
"AP1","GRB2"
"JUN","RASGRF1"
"AP1","RASGRF1"
"JUN","NACA"
"AP1","QRFP"
"AP1","RAB11A"
"JUN","KRT18"
"AP1","KRT18"
"JUN","CD9"
"AP1","CD9"
"AP1","C3AR1"
"JUN","IL21R"
"AP1","IL21R"
"JUN","BEX2"
"JUN","COL24A1"
"JUN","EZR"
"AP1","EZR"
"JUN","SLC1A3"
"AP1","SLC1A3"
"JUN","RHOC"
"JUN","PAK3"
"AP1","PAK3"
"JUN","HIPK3"
"CNOT7","MSMB"
"JUN","LYPD3"
"AP1","CCL23"
"JUN","CYP4A11"
"JUN","EPHX2"
"AP1","EPHX2"
"JUN","TLR10"
"AP1","TLR10"
"AP1","ALK"
"JUN","HCST"
"JUN","DYNC1H1"
"AP1","DYNC1H1"
"AP1","CAPNS1"
"JUN","DIO3"
"HR","DIO3"
"AP1","DIO3"
"JUN","HNRNPC"
"AP1","HNRNPC"
"JUN","YWHAH"
"CNOT7","PMP22"
"JUN","PEA15"
"AP1","PEA15"
"JUN","WNK4"
"AP1","WNK4"
"JUN","KIF11"
"JUN","LOXL4"
"AP1","LOXL4"
"JUN","PTPRO"
"AP1","PTPRO"
"JUN","PRKCD"
"AP1","SLC47A1"
"JUN","HAVCR2"
"AP1","HAVCR2"
"JUN","ITGA2"
"JUN","PRKDC"
"AP1","PRKDC"
"JUN","DDX53"
"AP1","DDX53"
"JUN","MYL9"
"AP1","MYL9"
"JUN","ASAH2"
"AP1","ASAH2"
"JUN","NPY6R"
"AP1","ERCC4"
"JUN","LBP"
"AP1","LBP"
"AP1","CAPN6"
"JUN","BPIFA1"
"AP1","BPIFA1"
"HR","MAP3K7"
"HR","TAB3"
"JUN","CD164"
"AP1","CD164"
"JUN","DEFB103B"
"JUN","SLC4A4"
"JUN","HMBS"
"AP1","HMBS"
"JUN","MAPRE2"
"AP1","MAPRE2"
"JUN","RASSF10"
"AP1","RASSF10"
"JUN","AFF2"
"JUN","CASP14"
"HR","CASP14"
"AP1","CASP14"
"JUN","PSMA6"
"JUN","IFNE"
"AP1","IFNE"
"JUN","ATP6AP1"
"AP1","BABAM2"
"AP1","RABEP2"
"JUN","MELTF"
"AP1","MELTF"
"AP1","IGHMBP2"
"JUN","KLK6"
"AP1","KLK6"
"JUN","ADH7"
"JUN","CAST"
"AP1","EDN3"
"JUN","SLC38A1"
"AP1","SLC38A1"
"JUN","ITGB8"
"JUN","SPRR3"
"JUN","DDX21"
"JUN","NEIL1"
"JUN","USP28"
"JUN","CXCL16"
"AP1","CXCL16"
"JUN","CYBA"
"JUN","IL13RA2"
"JUN","C5"
"AP1","C5"
"JUN","SPATA12"
"AP1","SPATA12"
"JUN","MAP2K6"
"AP1","MAP2K6"
"JUN","NOXO1"
"AP1","NOXO1"
"JUN","TREX1"
"AP1","TREX1"
"JUN","CYP4B1"
"AP1","CYP4B1"
"JUN","CALCB"
"AP1","CALCB"
"JUN","hsa-miR-155"
"AP1","hsa-miR-155"
"AP1","TCEA1"
"AP1","TM9SF2"
"AP1","SLC25A6"
"AP1","CD244"
"AP1","NCK2"
"AP1","INTU"
"AP1","UCK2"
"AP1","LDOC1"
"AP1","SERPINB7"
"AP1","CCT2"
"AP1","INE1"
"AP1","SHARPIN"
"AP1","CAPN1"
"AP1","LGMN"
"AP1","RAE1"
"AP1","hsa-miR-144"
