"Gene1","Gene2"
"NRF1","NRF1"
"NRF1","TFAM"
"TFAM","TFAM"
"NRF1","NFE2L2"
"TFAM","NFE2L2"
"NFE2L2","NFE2L2"
"NRF1","NFE2L1"
"NFE2L1","NFE2L1"
"NFE2L2","MAFG"
"NFE2L1","MAFG"
"MAFG","MAFG"
"TFAM","HSP90B2P"
"NFE2L2","HSP90B2P"
"CAMTA1","HSP90B2P"
"NFE2L3","PRDX6"
"NFE2L2","PRDX6"
"NRF1","RNF123"
"NFE2L2","RNF123"
"NRF1","GSS"
"NFE2L2","GSS"
"NRF1","EIF5B"
"NFE2L3","TBXAS1"
"NRF1","TBXAS1"
"NFE2L2","TBXAS1"
"NFE2L2","PMF1"
"NRF1","COX17"
"NFE2L2","COX17"
"NRF1","PRDX3"
"NFE2L2","CRYZ"
"MAFG","CRYZ"
"NRF1","SLC7A11"
"NFE2L2","SLC7A11"
"NFE2L2","GSTA1"
"NRF1","USO1"
"NRF1","CD47"
"NFE2L1","CDK11B"
"NRF1","COX6A1"
"NFE2L2","COX6A1"
"NFE2L2","GADD45GIP1"
"NFE2L2","VPS52"
"TFAM","TFB1M"
"NFE2L2","TFB1M"
"NRF1","TFB2M"
"NFE2L2","TFB2M"
"NRF1","SDHB"
"NFE2L2","SDHB"
"NFE2L2","SLC15A1"
"NFE2L2","IGKV6-21"
"NFE2L2","GPX2"
"TFAM","MT-CO1"
"NFE2L2","MTIF2"
"NFE2L2","TOMM20"
"NFE2L2","CBR1"
"NFE2L2","TXNRD1"
"NRF1","AVPR2"
"TFAM","AVPR2"
"BARHL2","AVPR2"
"NRF1","POLG"
"NFE2L2","POLG"
"NRF1","TOMM34"
"NFE2L2","TOMM34"
"NFE2L2","OSGIN1"
"NRF1","HPCAL1"
"NRF1","HPCAL4"
"NRF1","VSNL1"
"NFE2L2","CES1P1"
"CAMTA1","ANXA2"
"NFE2L2","EXOC4"
"NFE2L2","LTB4R"
"NFE2L2","CUL3"
"NFE2L2","RBX1"
"NFE2L2","CRBN"
"NFE2L2","CBR3"
"NRF1","PRDX4"
"NRF1","KIF17"
"NFE2L2","KIF17"
"NRF1","KIF1A"
"NFE2L2","KIF1A"
"NFE2L2","KPNA6"
"NFE2L3","PLA2G7"
"NFE2L2","SESN2"
"NFE2L2","AOX1"
"NFE2L2","IQGAP1"
"CAMTA1","RAB18"
"NRF1","ENOX1"
"NRF1","RETREG3"
"NRF1","EIF2S1"
"NRF1","EIF2S2"
"NFE2L2","MTHFR"
"NFE2L2","PPAT"
"NRF1","GALNT3"
"NFE2L2","PXDN"
"NFE2L2","PGD"
"NFE2L2","MTHFD2"
"NFE2L2","IL36G"
"NFE2L2","PRX"
