"Gene1","Gene2"
"RBPJ","RBPJ"
"RBPJ","GATA2"
"GATA2","GATA2"
"FOXP1","FOXP1"
"GATA2","BHLHA15"
"RBPJ","HES7"
"RBPJ","RBPJL"
"ELF2","VCP"
"FOXP1","SFTPC"
"RARG","TIE1"
"ELF2","TIE1"
"GATA2","RAG1"
"FOXP1","RAG1"
"BHLHA15","POSTN"
"BHLHA15","FPR2"
"RBPJ","CYP26A1"
"RARG","CYP26A1"
"RBPJ","IGHM"
"BHLHA15","KRT20"
"ELF2","LYN"
"GATA2","DPYSL2"
"RBPJ","RAB27A"
"RBPJ","ELAC2"
"RBPJ","LFNG"
"RBPJ","FCRL5"
"FOXP1","FGF20"
"RBPJ","DLL4"
"FOXP1","FGF16"
"RARG","LRAT"
"RBPJ","MAL"
"RBPJ","RBM15"
"HES7","SPRY4"
"BHLHA15","RAB3D"
"BHLHA15","AGFG1"
"FOXP1","FGF17"
"GATA2","EMCN"
"FOXP1","GDF3"
"RARG","TGM4"
"GATA2","PLCG1"
"RARG","DLEU7"
"FOXP1","HIP1R"
"RBPJ","ADAM19"
"RBPJ","ATP5PD"
"RBPJ","CHST12"
"RBPJ","CLCN1"
"RBPJ","DDX6"
"RBPJ","FGF6"
"RBPJ","FJX1"
"RBPJ","GAMT"
"RBPJ","NRARP"
"RBPJ","SEMA5B"
"FOXP1","SEMA5B"
"RBPJ","UCMA"
"GATA2","PDE9A"
"GATA2","CPA3"
"BHLHA15","RAB26"
"GATA2","AMOTL1"
"GATA2","ARRDC4"
"GATA2","CCRL2"
"GATA2","CTSH"
"GATA2","HTR5A"
"GATA2","ICAM4"
"GATA2","PLSCR2"
"GATA2","PSD4"
"GATA2","TNFAIP8L1"
"GATA2","VWA5A"
