"Gene1","Gene2"
"RELA","RELA"
"RELA","NFKB1"
"NFKB1","NFKB1"
"RELA","NFKBIE"
"RELA","CREB3"
"NFKB1","CREB3"
"CREB3","CREB3"
"RELA","NFKBIZ"
"NFKB1","NFKBIZ"
"NFKBIZ","NFKBIZ"
"NFKB1","PIR"
"RELA","TRIM22"
"NFKB1","TRIM22"
"RELA","F8"
"NFKB1","F8"
"RELA","SELE"
"NFKB1","SELE"
"NFKBIE","SELE"
"RELA","LIPE"
"NFKB1","LIPE"
"NFKB1","HP"
"CREB3","HP"
"RELA","COMT"
"RELA","HSP90AA1"
"NFKB1","HSP90AA1"
"RELA","PTPN13"
"NFKB1","PTPN13"
"RELA","PTHLH"
"NFKB1","PTHLH"
"RELA","CXCL14"
"NFKB1","CXCL14"
"CREB3","CXCL14"
"RELA","TFF3"
"NFKB1","TFF3"
"RELA","PSMB9"
"NFKB1","PSMB9"
"RELA","JAK1"
"RELA","CSNK2A1"
"NFKB1","CSNK2A1"
"RELA","TNFSF14"
"NFKB1","TNFSF14"
"RELA","PTX3"
"RELA","CRP"
"NFKB1","CRP"
"NFKB1","RIPK1"
"RELA","TEC"
"RELA","MAT2A"
"NFKB1","MAT2A"
"RELA","S100A6"
"NFKB1","S100A6"
"RELA","PTAFR"
"NFKB1","PTAFR"
"RELA","CD69"
"NFKB1","CD69"
"RELA","CD38"
"NFKB1","CD38"
"RELA","TNFRSF13C"
"NFKB1","TNFRSF13C"
"RELA","CRYGC"
"RELA","UPP1"
"NFKB1","UPP1"
"RELA","OLR1"
"NFKB1","OLR1"
"RELA","CD58"
"NFKB1","CD58"
"RELA","IER3"
"NFKB1","IER3"
"RELA","TRAF2"
"NFKB1","TRAF2"
"RELA","TAPBP"
"NFKB1","TAPBP"
"RELA","NOD2"
"NFKB1","NOD2"
"RELA","BCL2A1"
"NFKB1","BCL2A1"
"RELA","BACE1"
"NFKB1","BACE1"
"RELA","MTR"
"RELA","ELAVL1"
"RELA","PIGR"
"NFKB1","PIGR"
"RELA","GBP1"
"NFKB1","GBP1"
"RELA","FAF1"
"NFKB1","FAF1"
"CREB3","CCR1"
"RELA","DEFB4B"
"NFKB1","DEFB4B"
"NFKBIZ","DEFB4B"
"RELA","ERAP1"
"NFKB1","ERAP1"
"RELA","ISG20"
"NFKB1","ISG20"
"NFKB1","MAP3K8"
"RELA","IGF2BP2"
"NFKB1","IGF2BP2"
"RELA","TLR9"
"NFKB1","TLR9"
"RELA","PTGFR"
"NFKB1","PTGFR"
"RELA","TNFRSF1A"
"NFKB1","TNFRSF1A"
"RELA","TNFSF15"
"NFKB1","TNFSF15"
"RELA","NAF1"
"RELA","EBI3"
"NFKB1","EBI3"
